NAME,county,total_housing_units,fuel_oil_kerosene_units,fuel_oil_pct,median_household_income,total_population,white_alone_population,minority_population,minority_pct
Census Tract 285; Bronx County; New York,Bronx,1781,411,23.076923076923077,74965.0,3309,1387,1922,58.0840132970686
Census Tract 286; Bronx County; New York,Bronx,500,173,34.599999999999994,72857.0,1014,513,501,49.40828402366864
Census Tract 287; Bronx County; New York,Bronx,1247,209,16.760224538893347,64127.0,3442,1282,2160,62.75421266705404
Census Tract 288; Bronx County; New York,Bronx,1026,206,20.077972709551656,97424.0,2678,1710,968,36.14637789395071
Census Tract 289; Bronx County; New York,Bronx,1942,421,21.678681771369725,55977.0,4400,1014,3386,76.95454545454545
Census Tract 293.01; Bronx County; New York,Bronx,926,122,13.174946004319654,119643.0,1847,1143,704,38.11586356253384
Census Tract 293.02; Bronx County; New York,Bronx,2595,497,19.152215799614645,132405.0,5422,3410,2012,37.108078199926226
Census Tract 295; Bronx County; New York,Bronx,2098,493,23.49857006673022,100600.0,4639,2276,2363,50.93770209096788
Census Tract 296; Bronx County; New York,Bronx,1031,239,23.18137730358875,56747.0,2341,1044,1297,55.40367364374199
Census Tract 297; Bronx County; New York,Bronx,1856,327,17.618534482758623,90714.0,4171,2610,1561,37.42507791896428
Census Tract 300; Bronx County; New York,Bronx,2494,417,16.720128307939053,84279.0,6811,3479,3332,48.92086330935252
Census Tract 301; Bronx County; New York,Bronx,659,125,18.968133535660094,86672.0,1570,849,721,45.92356687898089
Census Tract 302.01; Bronx County; New York,Bronx,1656,73,4.408212560386474,75000.0,3684,251,3433,93.18675352877307
Census Tract 302.02; Bronx County; New York,Bronx,2634,166,6.302201974183751,78435.0,6152,170,5982,97.2366710013004
Census Tract 307.01; Bronx County; New York,Bronx,2413,345,14.297554910899295,121764.0,5492,3568,1924,35.03277494537509
Census Tract 309; Bronx County; New York,Bronx,1406,155,11.024182076813656,122500.0,3707,2917,790,21.311033180469384
Census Tract 310; Bronx County; New York,Bronx,1266,260,20.537124802527646,142671.0,4409,1669,2740,62.145611249716495
Census Tract 312; Bronx County; New York,Bronx,560,77,13.750000000000002,124474.0,1649,444,1205,73.07459066100667
Census Tract 314; Bronx County; New York,Bronx,597,172,28.8107202680067,111917.0,2186,851,1335,61.0704483074108
Census Tract 316; Bronx County; New York,Bronx,716,107,14.94413407821229,78864.0,1842,674,1168,63.409337676438646
Census Tract 318; Bronx County; New York,Bronx,572,48,8.391608391608392,98017.0,2038,732,1306,64.08243375858686
