tract,county,GEOID,FuelOilEstimate,TotalHouseholds,FuelOilPercent
159,New York,NewYork159,1569.0,5164.0,30.38
160.01,New York,NewYork160.01,517.0,1401.0,36.9
160.02,New York,NewYork160.02,222.0,1190.0,18.66
161,New York,NewYork161,1223.0,3907.0,31.3
162,New York,NewYork162,480.0,4617.0,10.4
163,New York,NewYork163,1270.0,3384.0,37.53
164,New York,NewYork164,349.0,3316.0,10.52
165,New York,NewYork165,646.0,3270.0,19.76
166,New York,NewYork166,333.0,2898.0,11.49
167,New York,NewYork167,758.0,3231.0,23.46
168,New York,NewYork168,162.0,1822.0,8.89
169,New York,NewYork169,1099.0,4369.0,25.15
170,New York,NewYork170,312.0,3352.0,9.31
171,New York,NewYork171,1205.0,4073.0,29.59
172,New York,NewYork172,147.0,2299.0,6.39
173,New York,NewYork173,912.0,4361.0,20.91
174.01,New York,NewYork174.01,215.0,2130.0,10.09
174.02,New York,NewYork174.02,0.0,1082.0,0.0
175,New York,NewYork175,1440.0,4450.0,32.36
177,New York,NewYork177,733.0,4471.0,16.39
178,New York,NewYork178,225.0,1876.0,11.99
179,New York,NewYork179,1178.0,4174.0,28.22
180,New York,NewYork180,234.0,2943.0,7.95
181,New York,NewYork181,884.0,4256.0,20.77
182,New York,NewYork182,308.0,3088.0,9.97
183,New York,NewYork183,1212.0,3751.0,32.31
184,New York,NewYork184,167.0,3351.0,4.98
185,New York,NewYork185,395.0,2753.0,14.35
186,New York,NewYork186,531.0,2003.0,26.51
187,New York,NewYork187,1185.0,3957.0,29.95
188,New York,NewYork188,361.0,2394.0,15.08
189,New York,NewYork189,842.0,4641.0,18.14
190,New York,NewYork190,86.0,1723.0,4.99
191,New York,NewYork191,1184.0,4258.0,27.81
192,New York,NewYork192,602.0,1653.0,36.42
193,New York,NewYork193,513.0,4136.0,12.4
194,New York,NewYork194,440.0,2782.0,15.82
195,New York,NewYork195,944.0,3214.0,29.37
196,New York,NewYork196,189.0,1845.0,10.24
197.01,New York,NewYork197.01,10.0,527.0,1.9
197.02,New York,NewYork197.02,208.0,1160.0,17.93
198,New York,NewYork198,100.0,975.0,10.26
199,New York,NewYork199,678.0,3224.0,21.03
200,New York,NewYork200,320.0,1578.0,20.28
201.01,New York,NewYork201.01,69.0,315.0,21.9
201.02,New York,NewYork201.02,142.0,1656.0,8.57
